Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,198,1,Some Random Commen with Id 0
1,0,2,13,8,Some Random Commen with Id 1
2,0,2,72,1,Some Random Commen with Id 2
3,0,2,133,7,Some Random Commen with Id 3
4,0,2,148,2,Some Random Commen with Id 4
5,0,2,72,5,Some Random Commen with Id 5
6,0,2,195,2,Some Random Commen with Id 6
7,0,2,83,7,Some Random Commen with Id 7
8,0,2,121,4,Some Random Commen with Id 8
9,1,5,54,5,Some Random Commen with Id 9
10,1,5,192,6,Some Random Commen with Id 10
11,2,5,99,8,Some Random Commen with Id 11
12,2,5,152,6,Some Random Commen with Id 12
13,2,5,132,1,Some Random Commen with Id 13
14,2,5,153,3,Some Random Commen with Id 14
15,2,5,154,5,Some Random Commen with Id 15
16,2,5,146,7,Some Random Commen with Id 16
17,3,7,84,0,Some Random Commen with Id 17
18,3,7,55,5,Some Random Commen with Id 18
19,3,7,118,0,Some Random Commen with Id 19
20,3,7,116,1,Some Random Commen with Id 20
21,3,7,169,2,Some Random Commen with Id 21
22,3,7,171,4,Some Random Commen with Id 22
23,4,8,176,8,Some Random Commen with Id 23
24,4,8,47,2,Some Random Commen with Id 24
25,4,8,161,7,Some Random Commen with Id 25
26,4,8,22,0,Some Random Commen with Id 26
27,4,8,33,6,Some Random Commen with Id 27
28,5,8,99,0,Some Random Commen with Id 28
29,5,8,26,9,Some Random Commen with Id 29
30,6,7,105,3,Some Random Commen with Id 30
31,7,0,188,9,Some Random Commen with Id 31
32,7,0,98,3,Some Random Commen with Id 32
33,7,0,153,3,Some Random Commen with Id 33
34,7,0,103,1,Some Random Commen with Id 34
35,7,0,26,7,Some Random Commen with Id 35
36,7,0,152,6,Some Random Commen with Id 36
37,7,0,69,2,Some Random Commen with Id 37
38,7,0,163,5,Some Random Commen with Id 38
39,8,9,44,9,Some Random Commen with Id 39
40,8,9,135,7,Some Random Commen with Id 40
41,8,9,190,1,Some Random Commen with Id 41
42,8,9,170,6,Some Random Commen with Id 42
43,8,9,46,1,Some Random Commen with Id 43
44,9,7,47,4,Some Random Commen with Id 44
45,9,7,56,3,Some Random Commen with Id 45
46,9,7,48,8,Some Random Commen with Id 46
47,9,7,158,4,Some Random Commen with Id 47
48,9,7,118,3,Some Random Commen with Id 48
49,9,7,127,2,Some Random Commen with Id 49
50,9,7,23,0,Some Random Commen with Id 50
51,9,7,52,4,Some Random Commen with Id 51
52,9,7,157,2,Some Random Commen with Id 52
53,10,2,50,9,Some Random Commen with Id 53
54,10,2,42,4,Some Random Commen with Id 54
55,10,2,54,4,Some Random Commen with Id 55
56,10,2,161,2,Some Random Commen with Id 56
57,10,2,11,1,Some Random Commen with Id 57
58,10,2,173,6,Some Random Commen with Id 58
59,10,2,177,5,Some Random Commen with Id 59
60,10,2,199,5,Some Random Commen with Id 60
61,10,2,187,6,Some Random Commen with Id 61
62,12,2,11,0,Some Random Commen with Id 62
63,12,2,15,1,Some Random Commen with Id 63
64,13,6,51,6,Some Random Commen with Id 64
65,13,6,83,8,Some Random Commen with Id 65
66,13,6,111,3,Some Random Commen with Id 66
67,14,9,111,3,Some Random Commen with Id 67
68,14,9,88,2,Some Random Commen with Id 68
69,14,9,147,4,Some Random Commen with Id 69
70,14,9,117,1,Some Random Commen with Id 70
71,14,9,160,4,Some Random Commen with Id 71
72,14,9,108,4,Some Random Commen with Id 72
73,14,9,110,8,Some Random Commen with Id 73
